"Rk","Gtm","Date","X","Opp","Rslt","IP","H","R","ER","UER","BB","SO","HR","HBP","ERA","BF","Pit","Str","IR","IS","SB","CS","AB","X2B","X3B","IBB","SH","SF","ROE","GDP","X.","Umpire","Pitchers.Used..Rest.GameScore.Dec.","Team","Year"
"11","11","Apr 17","","CLE","W,6-5","9.0","9","5","5","0","5","9","1","0","5.40","38","153","87","2","0","1","0","32","1","0","0","0","1","0","3","5","Phil Cuzzi","J.Chamberlain (4-31), P.Coke (0), J.Albaladejo (3), B.Bruney (1-W), M.Rivera (1-Sv)","NYY",2009
"12","12","Apr 18","","CLE","L,4-22","9.0","25","22","22","0","6","10","6","0","6.84","58","236","142","3","2","0","0","52","7","0","0","0","0","0","0","5","Ed Hickox","C.Wang (4-7-L), A.Claggett (99), E.Ramirez (1), J.Veras (1), D.Marte (1)","NYY",2009
"13","13","Apr 19","","CLE","W,7-3","9.0","4","3","3","0","7","4","2","1","6.53","37","140","78","3","0","0","0","29","0","0","0","0","0","0","2","4","Jerry Crawford","A.Burnett (4-50), J.Albaladejo (1-W), B.Bruney (1-H), M.Rivera (1)","NYY",2009
"14","14","Apr 21","","OAK","W,5-3","9.0","12","3","3","0","0","1","0","0","6.27","38","138","89","0","0","1","0","37","2","0","0","1","0","0","0","3","Brian Gorman","A.Pettitte (5-51-W), B.Bruney (1-H), M.Rivera (1-Sv)","NYY",2009
"15","15","Apr 22","","OAK","W,9-7","14.0","9","7","6","1","7","8","1","0","6.02","58","225","135","2","0","1","1","49","0","0","0","2","0","1","0","7","CB Bucknor","C.Sabathia (5-34), P.Coke (4), J.Albaladejo (2), M.Rivera (0), D.Marte (3), E.Ramirez (3), J.Veras (3-W)","NYY",2009
"16","16","Apr 24","@","BOS","L,4-5","10.1","14","5","4","1","5","9","2","2","5.84","49","189","112","4","0","1","0","42","3","0","1","0","0","1","4","5","Fieldin Culbreth","J.Chamberlain (6-42), P.Coke (1), J.Albaladejo (1-H), M.Rivera (1-BSv), D.Marte (1-L)","NYY",2009
"17","17","Apr 25","@","BOS","L,11-16","8.0","13","16","15","1","7","6","3","2","6.41","44","171","98","6","3","1","0","33","5","0","2","0","1","0","2","7","Jim Wolf","A.Burnett (5-19), J.Veras (2), P.Coke (0), J.Albaladejo (0-BL), E.Ramirez (2), D.Marte (0), D.Robertson (8)","NYY",2009
"18","18","Apr 26","@","BOS","L,1-4","8.0","7","4","3","1","5","7","0","1","6.26","36","138","77","0","0","3","2","29","2","0","1","0","1","2","0","2","Gary Cederstrom","A.Pettitte (4-48-L), M.Melancon (99)","NYY",2009
"19","19","Apr 27","@","DET","L,2-4","8.0","6","4","4","0","0","7","1","1","6.18","29","99","70","","","0","1","28","2","0","0","0","0","0","1","1","Jim Joyce","C.Sabathia (4-61-L)","NYY",2009
"20","20","Apr 28","@","DET","W,11-0","9.0","4","0","0","0","3","7","0","2","5.87","36","150","89","0","0","0","0","31","1","0","0","0","0","0","0","4","Derryl Cousins","P.Hughes (99-72-W), M.Melancon (1), E.Ramirez (2), J.Veras (2)","NYY",2009
"21","21","Apr 29","@","DET","W,8-6","9.0","7","6","6","0","4","8","1","1","5.88","38","130","75","2","2","0","1","30","2","0","0","1","2","0","0","4","Brian Runge","J.Chamberlain (4-70-W), P.Coke (3), J.Albaladejo (3), M.Rivera (4)","NYY",2009
"22","22","Apr 30","","LAA","W,7-4","9.0","9","4","4","0","1","8","1","0","5.79","34","140","90","0","0","3","2","32","1","1","0","0","1","0","1","3","Doug Eddings","A.Burnett (4-49), P.Coke (0-W), M.Rivera (0-Sv)","NYY",2009
