"Rk","Gtm","Date","X","Opp","Rslt","IP","H","R","ER","UER","BB","SO","HR","HBP","ERA","BF","Pit","Str","IR","IS","SB","CS","AB","X2B","X3B","IBB","SH","SF","ROE","GDP","X.","Umpire","Pitchers.Used..Rest.GameScore.Dec.","Team","Year"
"135","135","Sep 6","","TBR","W,6-4","9.0","10","4","4","0","2","7","2","1","3.94","40","141","101","1","0","2","0","37","2","0","0","0","0","1","1","4","Ben May","I.Nova (5-50-W), J.Wilson (1-H), D.Betances (3-H), A.Miller (1-Sv)","NYY",2015
"136","136","Sep 7","","BAL","W,8-6","9.0","8","6","6","0","6","11","2","1","3.95","41","161","99","0","0","0","0","33","1","0","0","1","0","0","0","4","Clint Fagan","M.Pineda (5-47), J.Wilson (0-BW), D.Betances (0-H), A.Miller (0-Sv)","NYY",2015
"137","137","Sep 8","","BAL","L,1-2","9.0","9","2","2","0","1","11","2","0","3.94","35","118","77","0","0","0","1","34","1","0","0","0","0","0","1","2","Jordan Baker","M.Tanaka (5-75), C.Shreve (2-L)","NYY",2015
"138","138","Sep 9","","BAL","L,3-5","9.0","7","5","3","2","6","8","1","1","3.93","42","162","101","5","3","0","0","33","2","0","1","2","0","0","0","5","Paul Emmel","C.Sabathia (16-50), A.Warren (3-L), N.Rumbelow (3), J.Pazos (3), B.Mitchell (6)","NYY",2015
"139","139","Sep 11","","TOR","L,5-11","9.0","16","11","11","0","3","9","5","0","3.98","45","172","110","3","0","1","0","42","2","0","0","0","0","0","1","6","Cory Blaser","L.Severino (6-22-L), C.Martin (84), A.Bailey (5), C.Shreve (2), C.Cotham (8), B.Pinder (11)","NYY",2015
"140","140","Sep 12(1)","","TOR","L,5-9","11.0","10","9","9","0","7","13","4","1","4.01","49","209","121","6","3","0","0","41","0","0","0","0","0","0","2","7","Dale Scott","M.Pineda (4-43), J.Wilson (4), D.Betances (4), A.Miller (4), B.Mitchell (2-L), C.Shreve (0), N.Goody (16)","NYY",2015
"141","141","Sep 12(2)","","TOR","L,7-10","9.0","14","10","10","0","3","7","1","2","4.05","46","182","117","4","2","2","0","41","3","0","0","0","0","0","0","5","Brian Knight","I.Nova (5-17-L), N.Rumbelow (2), C.Capuano (17), B.Pinder (0), J.Pazos (2)","NYY",2015
"142","142","Sep 13","","TOR","W,5-0","9.0","4","0","0","0","0","10","0","0","4.02","30","128","89","0","0","0","0","30","3","0","0","0","0","0","0","4","Chris Guccione","M.Tanaka (4-76-W), D.Betances (0), J.Pazos (0), C.Cotham (1)","NYY",2015
"143","143","Sep 14","@","TBR","W,4-1","9.0","6","1","1","0","2","12","0","0","4.00","35","159","102","2","0","1","0","33","1","0","0","0","0","1","1","4","Vic Carapazza","C.Sabathia (4-72), J.Wilson (1), C.Cotham (0-W), A.Miller (1-Sv)","NYY",2015
"144","144","Sep 15","@","TBR","L,3-6","8.0","13","6","6","0","3","10","1","0","4.02","38","154","94","5","0","2","0","35","1","0","0","0","0","0","1","7","Ron Kulpa","A.Warren (5-46), J.Pazos (1), N.Rumbelow (2-BL), C.Shreve (2), B.Pinder (2), B.Mitchell (2), C.Martin (3)","NYY",2015
"145","145","Sep 16","@","TBR","W,3-1","9.0","7","1","1","0","4","13","0","0","4.00","38","144","93","1","0","1","0","34","3","0","0","0","0","1","0","4","Larry Vanover","L.Severino (4-59-W), J.Wilson (1-H), D.Betances (2-H), A.Miller (1-Sv)","NYY",2015
"146","146","Sep 18","@","NYM","L,1-5","8.0","8","5","5","0","1","6","3","0","4.01","33","123","83","3","1","0","0","32","1","1","0","0","0","0","0","5","James Hoye","M.Tanaka (4-58-L), C.Shreve (2), B.Pinder (2), J.Pazos (2), A.Bailey (6)","NYY",2015
"147","147","Sep 19","@","NYM","W,5-0","9.0","6","0","0","0","2","12","0","0","3.98","34","158","104","4","0","0","1","32","0","0","0","0","0","0","0","7","John Hirschbeck","M.Pineda (6-63-W), J.Wilson (2), C.Cotham (4), D.Betances (2), J.Pazos (0), C.Martin (3), A.Miller (2)","NYY",2015
"148","148","Sep 20","@","NYM","W,11-2","9.0","7","2","2","0","3","10","0","0","3.97","36","154","98","0","0","0","0","33","5","0","1","0","0","0","1","4","Laz Diaz","C.Sabathia (5-62-W), N.Rumbelow (4), C.Capuano (7), N.Goody (7)","NYY",2015
"149","149","Sep 21","@","TOR","L,2-4","8.0","8","4","4","0","5","7","0","1","3.97","38","158","95","3","1","0","0","31","2","0","1","0","1","0","0","6","Greg Gibson","A.Warren (5-42-L), J.Pazos (1), C.Cotham (1), C.Shreve (2), B.Pinder (2), A.Bailey (2)","NYY",2015
"150","150","Sep 22","@","TOR","W,6-4","10.0","7","4","4","0","7","9","3","0","3.97","42","158","95","0","0","2","0","34","1","0","1","1","0","0","1","4","Chad Fairchild","L.Severino (5-58), J.Wilson (2), D.Betances (2-H), A.Miller (2-BW)","NYY",2015
"151","151","Sep 23","@","TOR","L,0-4","8.0","8","4","4","0","4","9","1","0","3.97","37","156","98","3","1","2","0","33","2","0","1","0","0","1","0","5","Jim Reynolds","I.Nova (10-61-L), J.Pazos (1), C.Cotham (1), A.Bailey (1), B.Mitchell (7)","NYY",2015
"152","152","Sep 24","","CHW","W,3-2","9.0","11","2","2","0","3","10","1","0","3.96","39","149","109","2","1","0","1","36","0","0","0","0","0","0","1","4","Clint Fagan","M.Pineda (4-58-W), J.Wilson (1-H), D.Betances (1-H), A.Miller (1-Sv)","NYY",2015
"153","153","Sep 25","","CHW","L,2-5","9.0","9","5","5","0","3","6","2","1","3.97","39","149","91","4","1","1","0","35","1","0","1","0","0","1","1","5","Alan Porter","C.Sabathia (4-47-L), A.Bailey (1), N.Rumbelow (4), C.Shreve (3), C.Martin (5)","NYY",2015
"154","154","Sep 26","","CHW","W,2-1","9.0","3","1","1","0","3","8","0","0","3.95","32","120","68","0","0","1","0","29","0","0","0","0","0","0","1","4","Sam Holbrook","A.Warren (4-63-W), J.Wilson (1-H), D.Betances (1-H), A.Miller (1-Sv)","NYY",2015
"155","155","Sep 27","","CHW","W,6-1","9.0","7","1","1","0","1","4","1","0","3.93","32","155","105","0","0","0","1","31","2","0","0","0","0","1","3","4","Brian O'Nora","L.Severino (4-63-W), J.Wilson (0-H), D.Betances (0-H), B.Mitchell (3)","NYY",2015
"156","156","Sep 28","","BOS","L,1-5","9.0","10","5","5","0","3","9","3","0","3.93","38","128","86","2","0","0","1","35","3","0","0","0","0","0","1","6","Tim Timmons","I.Nova (4-52-L), A.Bailey (2), C.Capuano (7), C.Cotham (4), J.Pazos (4), N.Rumbelow (2)","NYY",2015
"157","157","Sep 29","","BOS","L,4-10","9.0","11","10","10","0","3","6","3","0","3.97","41","156","103","0","0","0","0","38","4","0","0","0","0","0","2","3","Mike Everitt","M.Pineda (4-34-L), B.Mitchell (1), C.Martin (3)","NYY",2015
"158","158","Sep 30","","BOS","L,5-9","11.0","12","9","5","4","2","8","3","0","3.97","48","200","126","3","2","0","0","45","3","0","0","1","0","1","0","7","Tim Welke","M.Tanaka (11-43), J.Wilson (2), D.Betances (2-BSv), A.Miller (3), A.Bailey (1-L), C.Shreve (4), C.Cotham (1)","NYY",2015
"159","159","Oct 1","","BOS","W,4-1","9.0","7","1","1","0","4","8","0","0","3.95","36","163","102","0","0","0","0","32","0","0","1","0","0","0","2","3","Todd Tichenor","C.Sabathia (5-51-W), A.Warren (4-H), D.Betances (0-Sv)","NYY",2015
"160","160","Oct 3(1)","@","BAL","L,2-9","8.0","15","9","9","0","6","5","1","1","3.99","45","167","101","2","2","1","0","38","3","0","0","0","0","0","1","4","Marty Foster","I.Nova (4-34-L), C.Shreve (2), N.Goody (12), C.Martin (3)","NYY",2015
"161","161","Oct 3(2)","@","BAL","L,3-4","8.0","7","4","4","0","1","9","2","1","3.99","32","114","79","0","0","1","1","30","2","0","1","0","0","1","0","2","Mike Muchlinski","L.Severino (5-61), D.Betances (1-L)","NYY",2015
"162","162","Oct 4","@","BAL","L,4-9","8.0","12","9","9","0","6","8","2","0","4.03","41","187","110","4","2","0","0","35","4","0","1","0","0","0","0","9","Mark Wegner","M.Pineda (4-38-L), C.Capuano (5), B.Mitchell (4), J.Pazos (5), A.Bailey (3), B.Pinder (12), J.Wilson (3), A.Miller (3), C.Cotham (3)","NYY",2015
"1","1","Apr 5","","HOU","L,3-5","9.0","6","5","2","3","3","10","1","1","2.00","38","161","95","2","0","3","0","34","2","0","0","0","0","1","0","4","Dana DeMuth","M.Tanaka (99-56), C.Shreve (99), D.Betances (99-L), J.Barbato (99)","NYY",2016
"2","2","Apr 6","","HOU","W,16-6","9.0","12","6","6","0","1","10","3","1","4.00","40","143","96","0","0","0","0","38","3","0","0","0","0","0","1","2","Greg Gibson","M.Pineda (99-32-W), I.Nova (99-Sv)","NYY",2016
"3","3","Apr 7","","HOU","W,8-5","9.0","9","5","5","0","0","14","2","0","4.33","36","153","104","0","0","0","0","36","2","0","0","0","0","0","0","5","Ed Hickox","N.Eovaldi (99-42), K.Yates (99), C.Shreve (1-W), D.Betances (1-H), A.Miller (99-Sv)","NYY",2016
"4","4","Apr 8","@","DET","L,0-4","8.0","13","4","4","0","0","9","1","0","4.37","36","148","97","2","0","0","0","36","1","0","0","0","0","0","1","3","Mike Everitt","L.Severino (99-40-L), J.Barbato (2), L.Cessa (99)","NYY",2016
"5","5","Apr 9","@","DET","W,8-4","9.0","7","4","4","0","4","8","0","0","4.30","37","150","94","2","1","0","0","33","1","0","0","0","0","0","1","5","Paul Emmel","C.Sabathia (99-51-W), K.Yates (1), C.Shreve (1), D.Betances (1), A.Miller (1)","NYY",2016
"6","6","Apr 12","@","TOR","W,3-2","9.0","3","2","2","0","6","11","0","1","3.91","36","155","90","1","0","1","0","29","1","0","0","0","0","0","1","5","James Hoye","M.Tanaka (6-55), J.Barbato (3-W), C.Shreve (2-H), D.Betances (2-H), A.Miller (2-Sv)","NYY",2016
"7","7","Apr 13","@","TOR","L,2-7","8.0","10","7","6","1","3","8","0","1","4.28","37","144","91","0","0","0","1","32","6","0","0","0","1","1","1","3","Chad Fairchild","M.Pineda (6-55-L), K.Yates (3), I.Nova (6)","NYY",2016
"8","8","Apr 14","@","TOR","L,2-4","8.0","8","4","4","0","3","10","2","0","4.30","35","121","82","1","0","0","0","32","4","0","0","0","0","0","0","2","Jim Joyce","N.Eovaldi (6-50-L), J.Barbato (1)","NYY",2016
"9","9","Apr 15","","SEA","L,1-7","9.0","12","7","7","0","4","3","1","0","4.62","41","152","92","3","1","1","0","36","3","0","0","0","1","1","1","3","Mark Wegner","L.Severino (6-38-L), K.Yates (1), T.Olson (99)","NYY",2016
"10","10","Apr 16","","SEA","L,2-3","9.0","10","3","3","0","1","13","1","0","4.45","38","157","111","1","0","1","0","37","3","0","0","0","0","1","0","5","Marty Foster","C.Sabathia (6-42-L), J.Barbato (1), C.Shreve (3), D.Betances (3), A.Miller (3)","NYY",2016
"11","11","Apr 17","","SEA","W,4-3","9.0","6","3","2","1","0","12","0","0","4.22","33","119","84","0","0","0","0","33","0","1","0","0","0","1","1","3","Mike Muchlinski","M.Tanaka (4-61-W), D.Betances (0-H), A.Miller (0-Sv)","NYY",2016
"12","12","Apr 19","","OAK","L,2-3","11.0","11","3","3","0","1","12","0","0","4.04","44","162","113","0","0","0","1","43","1","2","0","0","0","0","0","5","Laz Diaz","M.Pineda (5-56), C.Shreve (2), D.Betances (1), A.Miller (1), J.Barbato (2-L)","NYY",2016
"13","13","Apr 20","","OAK","L,2-5","9.0","11","5","5","0","3","8","0","0","4.11","39","149","103","0","0","0","0","35","4","0","1","0","1","0","1","4","Cory Blaser","N.Eovaldi (5-50-L), K.Yates (4), B.Pinder (99), I.Nova (6)","NYY",2016
"14","14","Apr 21","","OAK","L,3-7","9.0","10","7","7","0","3","8","4","0","4.32","39","160","105","0","0","3","0","35","1","0","0","0","1","0","0","4","Jeff Nelson","L.Severino (5-54), C.Shreve (1-L), J.Barbato (1), K.Yates (0)","NYY",2016
"15","15","Apr 22","","TBR","W,6-3","9.0","9","3","3","0","3","9","0","0","4.23","40","134","89","2","0","1","0","37","3","0","0","0","0","1","0","4","Will Little","C.Sabathia (5-33), I.Nova (1-W), D.Betances (2-H), A.Miller (2-Sv)","NYY",2016
"16","16","Apr 23","","TBR","W,3-2","9.0","6","2","2","0","1","9","1","0","4.09","32","119","81","0","0","0","1","31","2","0","0","0","0","0","1","3","Ted Barrett","M.Tanaka (5-65), D.Betances (0), A.Miller (0-W)","NYY",2016
"17","17","Apr 24","","TBR","L,1-8","9.0","12","8","8","0","2","16","5","1","4.32","42","178","115","0","0","1","0","39","3","0","0","0","0","0","0","3","Ben May","M.Pineda (4-27-L), K.Yates (2), N.Goody (99)","NYY",2016
"18","18","Apr 25","@","TEX","W,3-1","9.0","3","1","1","0","2","7","1","0","4.14","30","117","78","1","0","0","0","28","1","0","0","0","0","1","3","3","Jim Reynolds","N.Eovaldi (4-77-W), D.Betances (1-H), A.Miller (1-Sv)","NYY",2016
"19","19","Apr 26","@","TEX","L,1-10","8.0","13","10","10","0","2","3","2","2","4.47","39","135","83","0","0","0","0","35","3","0","1","0","0","0","2","3","Manny Gonzalez","L.Severino (4-20-L), I.Nova (3), C.Shreve (4)","NYY",2016
"20","20","Apr 27","@","TEX","L,2-3","8.0","5","3","3","0","3","6","0","1","4.42","32","120","77","0","0","0","0","27","0","1","0","1","0","0","0","3","Fieldin Culbreth","C.Sabathia (4-52-L), J.Barbato (5), C.Shreve (0)","NYY",2016
"21","21","Apr 29","@","BOS","L,2-4","8.0","8","4","4","0","0","6","1","0","4.43","33","120","83","1","0","0","0","33","1","0","0","0","0","1","0","2","Lance Barksdale","M.Tanaka (5-59), D.Betances (3-L)","NYY",2016
"22","22","Apr 30","@","BOS","L,0-8","8.0","14","8","8","0","6","9","1","0","4.62","44","204","125","3","3","1","0","38","2","2","0","0","0","0","0","5","Dan Iassogna","M.Pineda (5-49-L), C.Shreve (2), K.Yates (5), J.Barbato (2), N.Goody (5)","NYY",2016
"23","23","May 1","@","BOS","L,7-8","8.0","14","8","8","0","3","4","2","0","4.79","40","138","87","2","1","1","0","37","1","0","0","0","0","0","0","4","Alan Porter","N.Eovaldi (5-23), I.Nova (4-L), D.Betances (1), A.Miller (5)","NYY",2016
"24","24","May 3","@","BAL","L,1-4","8.0","5","4","3","1","2","6","2","0","4.74","33","129","80","0","0","0","0","31","2","0","0","0","0","2","0","3","Alfonso Marquez","L.Severino (6-50-L), K.Yates (2), J.Barbato (2)","NYY",2016
"25","25","May 4","@","BAL","W,7-0","9.0","7","0","0","0","4","10","0","0","4.54","35","144","89","3","0","0","0","31","3","0","0","0","0","0","3","4","Chris Guccione","C.Sabathia (6-69-W), K.Yates (0), D.Betances (2), C.Shreve (3)","NYY",2016
"26","26","May 5","@","BAL","L,0-1","9.1","7","1","1","0","2","8","0","0","4.39","35","119","81","2","1","0","0","32","0","0","0","0","1","0","1","4","David Rackley","M.Tanaka (5-78), D.Betances (0), J.Barbato (1-L), A.Miller (3)","NYY",2016
"27","27","May 6","","BOS","W,3-2","9.0","13","2","2","0","2","10","1","0","4.30","41","175","103","2","0","2","0","39","2","0","0","0","0","0","1","5","Ron Kulpa","M.Pineda (5-51), C.Shreve (1), K.Yates (1-W), D.Betances (0-H), A.Miller (0-Sv)","NYY",2016
"28","28","May 7","","BOS","W,8-2","9.0","6","2","2","0","0","8","1","1","4.22","32","119","86","0","0","0","0","31","0","0","0","0","0","0","2","2","Chris Conroy","N.Eovaldi (5-68-W), N.Goody (6)","NYY",2016
"29","29","May 8","","BOS","L,1-5","9.0","7","5","5","0","1","10","4","1","4.25","34","144","87","1","0","1","0","32","1","0","0","0","0","0","1","3","Gabe Morales","L.Severino (4-56-L), C.Shreve (1), J.Barbato (2)","NYY",2016
"30","30","May 9","","KCR","W,6-3","9.0","10","3","3","0","2","8","2","0","4.20","38","150","91","3","0","1","0","36","1","0","0","0","0","1","2","5","Ted Barrett","I.Nova (7-50), P.Coke (99), K.Yates (2-W), C.Shreve (0), A.Chapman (99)","NYY",2016
"31","31","May 10","","KCR","W,10-7","9.0","9","7","7","0","1","8","4","1","4.30","38","125","86","0","0","0","0","35","1","0","0","1","0","0","0","3","Angel Hernandez","M.Tanaka (4-43), A.Miller (3-BW), A.Chapman (0-Sv)","NYY",2016
"32","32","May 11","","KCR","L,3-7","9.0","9","7","7","0","6","7","2","3","4.38","43","176","99","4","2","0","1","33","0","0","0","0","1","0","1","3","Sean Barber","M.Pineda (4-36-L), N.Goody (3), P.Coke (1)","NYY",2016
"33","33","May 12","","KCR","W,7-3","9.0","9","3","3","0","2","5","1","0","4.34","37","140","93","0","0","0","0","35","2","0","0","0","0","0","1","5","Will Little","N.Eovaldi (4-40-W), K.Yates (2-H), D.Betances (5-H), A.Miller (1), C.Shreve (2)","NYY",2016
"34","34","May 13","","CHW","L,1-7","9.0","9","7","7","0","7","7","1","1","4.42","44","176","104","0","0","0","0","36","3","0","0","0","0","0","0","4","Marty Foster","L.Severino (4-14-L), N.Goody (1), C.Shreve (0), K.Yates (0)","NYY",2016
"35","35","May 14","","CHW","W,2-1","9.0","5","1","1","0","1","10","1","0","4.32","33","128","85","1","0","0","0","32","2","0","0","0","0","0","0","4","Mike Muchlinski","I.Nova (4-58-W), D.Betances (1-H), A.Miller (1-H), A.Chapman (3-Sv)","NYY",2016
"36","36","May 15","","CHW","W,7-5","9.0","12","5","5","0","3","12","1","0","4.34","41","163","108","0","0","1","1","37","3","0","0","1","0","0","0","5","Clint Fagan","M.Tanaka (4-39), K.Yates (1), D.Betances (0-BW), A.Miller (0-H), A.Chapman (0-Sv)","NYY",2016
"37","37","May 16","@","ARI","L,2-12","8.0","15","12","8","4","5","8","2","2","4.45","47","161","95","1","1","3","0","39","6","1","0","0","1","2","1","4","CB Bucknor","C.Green (99-30-L), N.Goody (2), C.Mullee (99), P.Coke (4)","NYY",2016
"38","38","May 17","@","ARI","L,3-5","8.0","10","5","5","0","1","13","1","0","4.48","35","129","95","0","0","3","0","34","0","1","0","0","0","1","0","3","Fieldin Culbreth","M.Pineda (5-37-L), C.Shreve (3), K.Yates (1)","NYY",2016
"39","39","May 18","@","ARI","W,4-2","9.0","2","2","2","0","2","11","1","0","4.42","31","147","94","0","0","0","0","29","1","0","0","0","0","0","0","4","Jim Reynolds","N.Eovaldi (5-71-W), D.Betances (2-H), A.Miller (2-H), A.Chapman (2-Sv)","NYY",2016
"40","40","May 19","@","OAK","W,4-1","9.0","6","1","1","0","0","8","1","0","4.33","31","104","75","0","0","1","0","31","0","0","0","0","0","0","2","4","Todd Tichenor","I.Nova (4-63-W), D.Betances (0-H), A.Miller (0-H), A.Chapman (0-Sv)","NYY",2016
"41","41","May 20","@","OAK","W,8-3","9.0","6","3","3","0","1","9","0","1","4.30","36","138","94","0","0","0","0","34","1","1","0","0","0","1","0","3","Bill Miller","C.Sabathia (15-69-W), K.Yates (2), C.Shreve (2)","NYY",2016
"42","42","May 21","@","OAK","W,5-1","9.0","6","1","1","0","2","4","0","0","4.22","35","116","79","0","0","0","0","32","0","0","0","0","1","0","0","2","Pat Hoberg","M.Tanaka (5-65-W), N.Goody (4)","NYY",2016
"43","43","May 22","@","OAK","W,5-4","9.0","6","4","3","1","1","10","0","0","4.19","36","141","99","0","0","2","0","35","3","0","0","0","0","2","0","4","Brian Knight","M.Pineda (4-53-W), D.Betances (2-H), A.Miller (2-H), A.Chapman (2-Sv)","NYY",2016
"44","44","May 24","","TOR","W,6-0","9.0","2","0","0","0","4","7","0","1","4.09","34","140","86","1","0","1","0","28","0","0","0","1","0","0","0","4","James Hoye","N.Eovaldi (5-70-W), D.Betances (1-H), K.Yates (3), L.Cessa (45)","NYY",2016
"45","45","May 25","","TOR","L,4-8","9.0","11","8","8","0","4","8","3","1","4.18","43","169","106","1","1","0","0","38","2","0","0","0","0","0","0","3","Chad Fairchild","I.Nova (5-50-L), C.Shreve (4), N.Goody (3)","NYY",2016
"46","46","May 26","","TOR","L,1-3","9.0","6","3","1","2","1","11","0","1","4.11","36","124","83","0","0","0","0","34","1","0","0","0","0","1","0","3","Jim Joyce","C.Sabathia (5-75-L), D.Betances (1), A.Chapman (3)","NYY",2016
"47","47","May 27","@","TBR","W,4-1","9.0","4","1","1","0","0","9","1","1","4.04","33","125","81","0","0","0","0","32","1","0","0","0","0","0","0","4","Tripp Gibson","M.Tanaka (5-77-W), A.Miller (4), K.Yates (2), A.Chapman (0)","NYY",2016
"48","48","May 28","@","TBR","L,5-9","8.0","13","9","9","0","2","6","2","1","4.16","40","139","85","3","2","0","0","35","6","1","0","1","1","0","0","3","Jerry Layne","M.Pineda (5-22-L), N.Goody (2), L.Cessa (3)","NYY",2016
"49","49","May 29","@","TBR","W,2-1","9.0","6","1","1","0","2","14","0","0","4.09","36","144","95","0","0","0","0","34","1","0","0","0","0","1","0","4","Hunter Wendelstedt","N.Eovaldi (4-61-W), D.Betances (2-H), A.Miller (1-H), A.Chapman (1-Sv)","NYY",2016
"50","50","May 30","@","TOR","L,2-4","8.0","8","4","4","0","1","6","1","0","4.10","32","120","76","1","0","0","1","30","4","0","0","1","0","0","0","3","Scott Barry","I.Nova (4-43-L), N.Goody (1), R.Bleier (99)","NYY",2016
"51","51","May 31","@","TOR","L,1-4","8.0","7","4","4","0","2","6","1","0","4.10","29","118","72","1","1","1","0","27","1","0","0","0","0","0","3","3","CB Bucknor","C.Sabathia (4-57-L), D.Betances (1), K.Yates (3)","NYY",2016
"52","52","Jun 1","@","TOR","L,0-7","8.0","12","7","6","1","3","3","0","0","4.15","37","157","98","2","2","1","0","34","2","0","0","0","0","1","2","4","Fieldin Culbreth","M.Tanaka (4-53-L), K.Yates (0), N.Goody (1), R.Bleier (1)","NYY",2016
"53","53","Jun 2","@","DET","W,5-4","9.0","11","4","4","0","4","13","0","0","4.15","39","161","102","1","0","0","1","35","4","0","0","0","0","1","2","4","Dan Iassogna","M.Pineda (4-59), D.Betances (1-W), A.Miller (3-H), A.Chapman (3-Sv)","NYY",2016
"54","54","Jun 3","@","BAL","L,5-6","8.0","11","6","6","0","1","8","1","0","4.19","35","136","90","2","1","0","0","34","2","0","0","0","0","0","1","4","Bill Miller","N.Eovaldi (4-36), K.Yates (1-BSv), D.Betances (0-L), R.Bleier (1)","NYY",2016
"55","55","Jun 4","@","BAL","W,8-6","9.0","8","6","6","0","3","9","3","0","4.23","38","152","101","2","2","0","0","35","1","0","0","0","0","0","0","4","Tony Randazzo","I.Nova (4-42-W), N.Goody (2), A.Miller (1-H), A.Chapman (1-Sv)","NYY",2016
"56","56","Jun 5","@","BAL","L,1-3","8.0","6","3","2","1","7","12","0","1","4.19","37","169","108","3","2","0","0","29","0","0","0","0","0","0","1","4","Brian Knight","C.Sabathia (4-62), K.Yates (1-H), D.Betances (1-L), A.Chapman (0-BSv)","NYY",2016
"57","57","Jun 6","","LAA","W,5-2","9.0","6","2","2","0","2","7","0","0","4.15","34","113","77","0","0","1","0","30","1","0","0","1","1","0","1","3","Phil Cuzzi","M.Tanaka (4-58), A.Miller (1-W), A.Chapman (0-Sv)","NYY",2016
"58","58","Jun 7","","LAA","W,6-3","9.0","5","3","3","0","2","7","1","0","4.13","34","118","82","0","0","0","0","32","3","0","0","0","0","0","0","3","Dan Bellino","M.Pineda (4-59-W), D.Betances (1-H), A.Miller (0-Sv)","NYY",2016
"59","59","Jun 8","","LAA","W,12-6","9.0","14","6","6","0","1","8","3","0","4.17","42","153","104","1","0","0","0","41","4","0","0","0","0","0","0","4","Clint Fagan","N.Eovaldi (4-31), A.Swarzak (99-W), K.Yates (2), N.Goody (3)","NYY",2016
"60","60","Jun 9","","LAA","W,6-3","9.0","8","3","3","0","1","9","1","1","4.15","36","113","76","0","0","1","1","34","3","0","0","0","0","1","0","4","Tom Hallion","I.Nova (4-53-W), D.Betances (1-H), A.Miller (1-H), A.Chapman (2-Sv)","NYY",2016
"61","61","Jun 10","","DET","W,4-0","9.0","6","0","0","0","2","7","0","0","4.08","34","131","87","0","0","0","0","32","0","0","0","0","0","0","1","3","Carlos Torres","C.Sabathia (4-69-W), D.Betances (0), A.Swarzak (1)","NYY",2016
"62","62","Jun 11","","DET","L,1-6","9.0","10","6","6","0","1","7","2","1","4.11","38","139","98","1","1","1","0","36","1","0","0","0","0","0","0","4","Vic Carapazza","M.Tanaka (4-44-L), K.Yates (2), N.Goody (2), R.Bleier (7)","NYY",2016
"63","63","Jun 12","","DET","L,1-4","9.0","9","4","4","0","2","12","1","0","4.11","38","156","108","0","0","1","0","35","2","0","0","0","1","0","0","4","Mike Winters","M.Pineda (4-58-L), A.Swarzak (1), N.Goody (0), C.Green (26)","NYY",2016
"64","64","Jun 14","@","COL","L,10-13","8.0","15","13","13","0","5","7","3","0","4.26","43","158","94","3","2","1","1","36","4","1","1","1","1","0","0","5","Ted Barrett","N.Eovaldi (5-22-L), N.Goody (1), K.Yates (2), R.Bleier (2), A.Miller (4)","NYY",2016
"65","65","Jun 15","@","COL","L,3-6","8.0","13","6","6","0","3","8","1","1","4.29","39","140","89","0","0","2","0","34","2","1","0","1","0","0","2","4","Gabe Morales","I.Nova (5-30-L), A.Swarzak (2), D.Betances (4), A.Chapman (5)","NYY",2016
"66","66","Jun 16","@","MIN","W,4-1","9.0","7","1","1","0","3","11","0","1","4.24","38","161","105","0","0","0","0","34","2","0","0","0","0","0","0","4","Pat Hoberg","C.Sabathia (5-60-W), D.Betances (0-H), A.Miller (1-H), A.Chapman (0-Sv)","NYY",2016
"67","67","Jun 17","@","MIN","W,8-2","9.0","9","2","2","0","0","5","1","0","4.21","35","137","93","0","0","0","0","35","1","0","0","0","0","1","2","2","Mark Carlson","M.Tanaka (5-69-W), N.Goody (2)","NYY",2016
"68","68","Jun 18","@","MIN","W,7-6","9.0","9","6","5","1","0","15","3","0","4.22","36","158","114","2","1","2","0","34","1","1","0","1","1","1","0","4","Quinn Wolcott","M.Pineda (5-51), A.Swarzak (2), A.Miller (1-W), A.Chapman (1-Sv)","NYY",2016
"69","69","Jun 19","@","MIN","L,4-7","8.0","11","7","7","0","2","4","2","0","4.27","36","153","95","1","1","1","1","34","2","1","0","0","0","0","0","4","Paul Emmel","N.Eovaldi (4-40-L), D.Betances (2), K.Yates (4), N.Goody (1)","NYY",2016
"70","70","Jun 21","","COL","L,4-8","9.0","15","8","7","1","2","13","3","0","4.31","45","171","113","2","1","3","0","42","3","0","1","0","1","1","0","5","Adam Hamari","I.Nova (5-23-L), N.Goody (1), R.Bleier (6), K.Yates (1), A.Swarzak (2)","NYY",2016
"71","71","Jun 22","","COL","W,9-8","9.0","9","8","7","1","2","11","2","0","4.35","38","159","104","1","1","0","0","35","1","0","0","1","0","1","0","5","Laz Diaz","C.Sabathia (5-28), A.Swarzak (0), D.Betances (2), A.Miller (3), A.Chapman (3-W)","NYY",2016
"72","72","Jun 24","","MIN","W,5-3","9.0","7","3","3","0","2","12","0","0","4.33","35","130","87","0","0","0","0","33","3","0","0","0","0","0","1","4","Chris Guccione","M.Tanaka (6-51-W), D.Betances (1-H), A.Miller (1-H), A.Chapman (1-Sv)","NYY",2016
"73","73","Jun 25","","MIN","W,2-1","9.0","3","1","1","0","1","12","1","0","4.28","31","126","85","0","0","0","0","30","0","0","0","0","0","0","0","4","Alfonso Marquez","M.Pineda (6-71), D.Betances (0), A.Miller (0-W), A.Chapman (0-Sv)","NYY",2016
"74","74","Jun 26","","MIN","L,1-7","9.0","8","7","7","0","4","6","6","0","4.32","37","145","90","0","0","0","1","33","0","0","0","0","0","0","1","4","Larry Vanover","N.Eovaldi (6-41-L), L.Cessa (28), R.Bleier (4), K.Yates (4)","NYY",2016
