last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Tanaka, Masahiro,2017,.251,.454,.324,.299,.203,88,8.8,8.6,
Porcello, Rick,2017,.272,.483,.343,.317,.211,88.2,14.4,8.0,
Nelson, Jimmy,2017,.240,.366,.294,.300,.126,85.9,5.8,4.0,
Leake, Mike,2017,.277,.440,.329,.319,.163,87.7,6.1,5.1,
Corbin, Patrick,2017,.264,.429,.324,.321,.165,87.9,8,6.7,
Cobb, Alex,2017,.274,.443,.333,.324,.169,88.2,9.3,6.0,
Bauer, Trevor,2017,.254,.429,.327,.320,.175,89.4,9.7,7.8,
Arrieta, Jake,2017,.243,.405,.313,.313,.162,87.5,10.5,5.6,
Santana, Ervin,2017,.236,.401,.305,.298,.165,86,16,5.9,
Marquez, German,2017,.262,.439,.330,.322,.177,88.7,9.1,7.1,
Kluber, Corey,2017,.210,.334,.257,.252,.124,85.3,10.5,5.3,
Gonzalez, Gio,2017,.228,.366,.298,.309,.139,86.1,11.7,4.9,
Davies, Zach,2017,.291,.438,.344,.349,.147,86.2,7.4,4.0,
Severino, Luis,2017,.217,.345,.277,.276,.128,87.2,8,6.1,
Ray, Robbie,2017,.220,.381,.305,.311,.161,89.9,14.4,6.2,
Perez, Martin,2017,.304,.481,.368,.364,.177,87.1,9.8,5.4,
Nova, Ivan,2017,.287,.494,.351,.328,.207,89.4,9.2,6.5,
Kershaw, Clayton,2017,.216,.371,.270,.251,.155,85.3,10.3,6.3,
Gray, Sonny,2017,.249,.414,.319,.316,.165,87.4,5.4,6.2,
Dickey, R.A.,2017,.261,.413,.330,.336,.152,86.4,10.3,4.3,
Chacin, Jhoulys,2017,.240,.386,.313,.325,.146,86.3,9.8,5.7,
Archer, Chris,2017,.233,.393,.300,.293,.160,89.6,12.8,5.9,
Volquez, Edinson,2015,.269,.425,.340,.338,.156,88.5,10.3,5.9,
Miller, Shelby,2015,.231,.348,.292,.305,.117,87.1,10.5,3.6,
McHugh, Collin,2015,.237,.361,.293,.294,.124,86.1,12.2,3.5,
Kluber, Corey,2015,.233,.376,.291,.282,.144,88,11.5,5.6,
Jimenez, Ubaldo,2015,.248,.372,.313,.324,.124,87.8,10,4.2,
Dickey, R.A.,2015,.259,.407,.322,.319,.148,87.4,12.5,4.4,
Gonzalez, Gio,2015,.244,.373,.309,.318,.129,88.2,6,4.7,
Gibson, Kyle,2015,.257,.399,.320,.322,.142,88.4,6.1,5.0,
Carrasco, Carlos,2015,.217,.341,.272,.269,.124,88.5,6.9,4.9,
Buehrle, Mark,2015,.289,.466,.343,.323,.177,87,11.7,4.9,
Wacha, Michael,2015,.242,.377,.306,.309,.135,87.6,10.4,4.8,
Ventura, Yordano,2015,.243,.388,.317,.319,.146,89.1,5.4,5.3,
Sale, Chris,2015,.215,.333,.268,.266,.118,85.9,13.1,4.0,
Sabathia, CC,2015,.260,.389,.313,.317,.129,87.8,10.5,4.1,
Nelson, Jimmy,2015,.235,.368,.310,.318,.133,86.8,7.3,4.8,
Kazmir, Scott,2015,.254,.406,.326,.323,.152,87.4,12.5,5.2,
Happ, J.A.,2015,.258,.393,.309,.308,.135,89.4,13,4.6,
Greinke, Zack,2015,.214,.321,.258,.257,.107,87.3,9.8,4.0,
DeSclafani, Anthony,2015,.257,.400,.316,.316,.144,88.5,11.8,4.9,
Cueto, Johnny,2015,.251,.402,.311,.300,.151,86.8,13.2,4.9,
Burnett, A.J.,2015,.268,.420,.333,.331,.153,89.8,5.7,4.8,
Archer, Chris,2015,.228,.356,.289,.289,.129,89.5,10.9,4.6,
Santiago, Hector,2015,.229,.421,.321,.311,.192,89,22.3,7.9,
Ross, Tyson,2015,.216,.308,.283,.305,.092,87.4,1.9,3.3,
Porcello, Rick,2015,.272,.439,.334,.320,.167,88.9,9.1,5.6,
Pelfrey, Mike,2015,.300,.444,.357,.357,.143,88.4,6.9,4.6,
Lewis, Colby,2015,.272,.457,.337,.316,.185,89.3,18.2,6.6,
Leake, Mike,2015,.278,.439,.337,.329,.161,88.9,6.7,5.3,
Lackey, John,2015,.250,.391,.305,.299,.141,88.3,11.6,5.6,
Kershaw, Clayton,2015,.195,.281,.235,.239,.086,85.6,8.9,3.3,
